,Unnamed: 0,user_id,created_at,tweet,hashtags,retweet_count,favourite_count,,user_location,,predicted_location
512,27,b'NetizenParo',10/3/2020 5:22,"b""RT @SimranK60419840: Can you see what is happening here in this photo? Yeah, this is the reality. The real #Sikhs don't want #Khalistan but\xe2\x80\xa6""","[{'text': 'Sikhs', 'indices': [107, 113]}, {'text': 'Khalistan', 'indices': [125, 135]}]",10,0,,"Texas, USA",,US / UK / Canada
513,28,b'NetizenParo',10/3/2020 5:19,"b'RT @Sukhlee72644266: #Khalistan? Really! Oh please #Pannun for once, be honest with the #SikhCommunity. How can #Khalistan be a solution to\xe2\x80\xa6'","[{'text': 'Khalistan', 'indices': [21, 31]}, {'text': 'Pannun', 'indices': [51, 58]}, {'text': 'SikhCommunity', 'indices': [88, 102]}, {'text': 'Khalistan', 'indices': [112, 122]}]",11,0,,"Texas, USA",,US / UK / Canada
514,29,b'Krishna18376061',10/3/2020 5:16,"b""RT @SimranK60419840: Can you see what is happening here in this photo? Yeah, this is the reality. The real #Sikhs don't want #Khalistan but\xe2\x80\xa6""","[{'text': 'Sikhs', 'indices': [107, 113]}, {'text': 'Khalistan', 'indices': [125, 135]}]",10,0,,Lucknow,,Not Classified
517,32,b'ShahzebVance',10/3/2020 5:07,"b'RT @ShiningSadaf: All oppressed, enslaved &amp; subjugated Nations are rising up against RSS Hindutva based Fascist Apartheid Regime in India.\xe2\x80\xa6'",[],88,0,,ISLAMABAD,,Pakistan
522,37,b'f18_er',10/3/2020 4:53,b'RT @TopTrendsWatch: Just started trending in Pakistan.\n\nemily\nTeal\nshah abdul latif bhittai\n#TrumpTestsPositive\n#khalistan\n#qadianiyyat_isn\xe2\x80\xa6',"[{'text': 'TrumpTestsPositive', 'indices': [92, 111]}, {'text': 'khalistan', 'indices': [112, 122]}]",3,0,,Pakistan ,,Pakistan
523,38,b'reachkbt',10/3/2020 4:51,"b'RT @Sukhlee72644266: #Khalistan? Really! Oh please #Pannun for once, be honest with the #SikhCommunity. How can #Khalistan be a solution to\xe2\x80\xa6'","[{'text': 'Khalistan', 'indices': [21, 31]}, {'text': 'Pannun', 'indices': [51, 58]}, {'text': 'SikhCommunity', 'indices': [88, 102]}, {'text': 'Khalistan', 'indices': [112, 122]}]",11,0,,Earth,,Not Classified
524,39,b'naikayush1',10/3/2020 4:49,"b""RT @SimranK60419840: Can you see what is happening here in this photo? Yeah, this is the reality. The real #Sikhs don't want #Khalistan but\xe2\x80\xa6""","[{'text': 'Sikhs', 'indices': [107, 113]}, {'text': 'Khalistan', 'indices': [125, 135]}]",10,0,,"Surat, India",,India
525,40,b'kaulkiran',10/3/2020 4:48,"b'RT @Sukhlee72644266: #Khalistan? Really! Oh please #Pannun for once, be honest with the #SikhCommunity. How can #Khalistan be a solution to\xe2\x80\xa6'","[{'text': 'Khalistan', 'indices': [21, 31]}, {'text': 'Pannun', 'indices': [51, 58]}, {'text': 'SikhCommunity', 'indices': [88, 102]}, {'text': 'Khalistan', 'indices': [112, 122]}]",11,0,,Chandigarh,,India
527,42,b'TopTrendsWatch',10/3/2020 4:30,"b'Trending Topics in Pakistan on 03-Oct-20, 09:30:05\n\n41 #NehalHashmi\n42 #bachakhaniconofpeace\n43 #thegroup\n44\xe2\x80\xa6 https://t.co/dgcm7tYCZz'","[{'text': 'NehalHashmi', 'indices': [55, 67]}, {'text': 'bachakhaniconofpeace', 'indices': [71, 92]}, {'text': 'thegroup', 'indices': [96, 105]}]",0,0,,Pakistan,,Pakistan
528,43,b'Riz355',10/3/2020 4:25,b'RT @ShahzaibKasra4: #Khalistan #\xd8\xb9\xd8\xb2\xd8\xaa_\xda\xa9\xdb\x8c_\xd8\xb2\xd9\x86\xd8\xaf\xda\xaf\xdb\x8c_\xd8\xac\xdb\x8c\xd8\xa6\xdb\x8c\xda\xba_\xda\xaf\xdb\x92\nIn Sha ALLAH\nAMEEN https://t.co/8Islz4oBsk',"[{'text': 'Khalistan', 'indices': [20, 30]}, {'text': 'عزت_کی_زندگی_جیئیں_گے', 'indices': [31, 53]}]",7,0,,"Lahore, Pakistan",,Pakistan
529,44,b'SumanSh58123278',10/3/2020 4:24,"b'RT @Sukhlee72644266: #Khalistan? Really! Oh please #Pannun for once, be honest with the #SikhCommunity. How can #Khalistan be a solution to\xe2\x80\xa6'","[{'text': 'Khalistan', 'indices': [21, 31]}, {'text': 'Pannun', 'indices': [51, 58]}, {'text': 'SikhCommunity', 'indices': [88, 102]}, {'text': 'Khalistan', 'indices': [112, 122]}]",11,0,,"जम्मू औरकश्मीर,UT, जम्बुद्वीप ",,Not Classified
531,46,b'SumanSh58123278',10/3/2020 4:20,"b""RT @SimranK60419840: Can you see what is happening here in this photo? Yeah, this is the reality. The real #Sikhs don't want #Khalistan but\xe2\x80\xa6""","[{'text': 'Sikhs', 'indices': [107, 113]}, {'text': 'Khalistan', 'indices': [125, 135]}]",10,0,,"जम्मू औरकश्मीर,UT, जम्बुद्वीप ",,Not Classified
532,47,b'rik8488',10/3/2020 4:14,"b'RT @Sukhlee72644266: #Khalistan? Really! Oh please #Pannun for once, be honest with the #SikhCommunity. How can #Khalistan be a solution to\xe2\x80\xa6'","[{'text': 'Khalistan', 'indices': [21, 31]}, {'text': 'Pannun', 'indices': [51, 58]}, {'text': 'SikhCommunity', 'indices': [88, 102]}, {'text': 'Khalistan', 'indices': [112, 122]}]",11,0,,"Ayodhya, India",,India
535,50,b'GirrajGurjar00',10/3/2020 4:06,"b""RT @SimranK60419840: Can you see what is happening here in this photo? Yeah, this is the reality. The real #Sikhs don't want #Khalistan but\xe2\x80\xa6""","[{'text': 'Sikhs', 'indices': [107, 113]}, {'text': 'Khalistan', 'indices': [125, 135]}]",10,0,,kota rajasthan,,Not Classified
536,51,b'p_skushwaha',10/3/2020 4:05,"b""RT @SimranK60419840: Can you see what is happening here in this photo? Yeah, this is the reality. The real #Sikhs don't want #Khalistan but\xe2\x80\xa6""","[{'text': 'Sikhs', 'indices': [107, 113]}, {'text': 'Khalistan', 'indices': [125, 135]}]",10,0,,"Gorakhpur, India",,India
537,52,b'rehanvinod',10/3/2020 4:05,b'RT @Sanpree62321337: The idea of a #Sikh homeland - Khalistan is a fantasy that exists only on social media due to the backing of #Pakistan\xe2\x80\xa6',"[{'text': 'Sikh', 'indices': [35, 40]}, {'text': 'Pakistan', 'indices': [130, 139]}]",25,0,,india,,India
538,53,b'JatinPassi10',10/3/2020 4:05,"b""RT @SimranK60419840: Can you see what is happening here in this photo? Yeah, this is the reality. The real #Sikhs don't want #Khalistan but\xe2\x80\xa6""","[{'text': 'Sikhs', 'indices': [107, 113]}, {'text': 'Khalistan', 'indices': [125, 135]}]",10,0,,भारत,,Not Classified
540,55,b'TopTrendsWatch',10/3/2020 3:48,b'Just started trending in Pakistan.\n\n#khalistan',"[{'text': 'khalistan', 'indices': [36, 46]}]",0,1,,Pakistan,,Pakistan
542,57,b'TopTrendsWatch',10/3/2020 3:30,"b'Trending Topics in Pakistan on 03-Oct-20, 08:30:04\n\n41 #thegroup\n42 #LovesickGirls\n43 #fridaymotivation\n44\xe2\x80\xa6 https://t.co/0LXDpqayaU'","[{'text': 'thegroup', 'indices': [55, 64]}, {'text': 'LovesickGirls', 'indices': [68, 82]}, {'text': 'fridaymotivation', 'indices': [86, 103]}]",0,0,,Pakistan,,Pakistan
548,63,b'TopTrendsWatch',10/3/2020 2:48,b'Just started trending in Pakistan.\n\nemily\n#khalistan',"[{'text': 'khalistan', 'indices': [42, 52]}]",0,2,,Pakistan,,Pakistan
551,66,b'Abali50063775',10/3/2020 2:14,"b'RT @TopTrendsWatch: Trending Topics in Pakistan on 03-Oct-20, 04:30:05\n\n41 #COVID19\n42 #thealbum\n43 #fridaymotivation\n44 #studentsprotestwi\xe2\x80\xa6'","[{'text': 'COVID19', 'indices': [75, 83]}, {'text': 'thealbum', 'indices': [87, 96]}, {'text': 'fridaymotivation', 'indices': [100, 117]}]",10,0,,"Islamabad, Pakistan",,Pakistan
552,67,b'Abali50063775',10/3/2020 2:13,"b'RT @TopTrendsWatch: Trending Topics in Pakistan on 03-Oct-20, 06:30:04\n\n41 #thealbum\n42 #lovesickgirls\n43 #fridaymotivation\n44 #studentspro\xe2\x80\xa6'","[{'text': 'thealbum', 'indices': [75, 84]}, {'text': 'lovesickgirls', 'indices': [88, 102]}, {'text': 'fridaymotivation', 'indices': [106, 123]}]",5,0,,"Islamabad, Pakistan",,Pakistan
559,74,b'TopTrendsWatch',10/3/2020 1:30,"b'Trending Topics in Pakistan on 03-Oct-20, 06:30:04\n\n41 #thealbum\n42 #lovesickgirls\n43 #fridaymotivation\n44\xe2\x80\xa6 https://t.co/NExIX9ZsEv'","[{'text': 'thealbum', 'indices': [55, 64]}, {'text': 'lovesickgirls', 'indices': [68, 82]}, {'text': 'fridaymotivation', 'indices': [86, 103]}]",5,0,,Pakistan,,Pakistan
560,75,b'mridulkhanna91',10/3/2020 1:26,b'RT @Manjind06428833: SFJ was also found to be in close touch with other Pak-sponsored Islamist militant outfits and their activities to get\xe2\x80\xa6',[],10,0,,"Amritsar, India",,India
561,76,b'TopTrendsWatch',10/3/2020 1:18,b'Just started trending in Pakistan.\n\nMalik Riaz\nTeal\n#khalistan',"[{'text': 'khalistan', 'indices': [52, 62]}]",0,0,,Pakistan,,Pakistan
562,77,b'Junaid76122935',10/3/2020 1:10,"b'RT @TopTrendsWatch: Trending Topics in Pakistan on 03-Oct-20, 04:30:05\n\n41 #COVID19\n42 #thealbum\n43 #fridaymotivation\n44 #studentsprotestwi\xe2\x80\xa6'","[{'text': 'COVID19', 'indices': [75, 83]}, {'text': 'thealbum', 'indices': [87, 96]}, {'text': 'fridaymotivation', 'indices': [100, 117]}]",10,0,,"Lahore, Pakistan",,Pakistan
568,83,b'Abdulla52521512',10/3/2020 0:30,"b'RT @TopTrendsWatch: Trending Topics in Pakistan on 03-Oct-20, 04:30:05\n\n41 #COVID19\n42 #thealbum\n43 #fridaymotivation\n44 #studentsprotestwi\xe2\x80\xa6'","[{'text': 'COVID19', 'indices': [75, 83]}, {'text': 'thealbum', 'indices': [87, 96]}, {'text': 'fridaymotivation', 'indices': [100, 117]}]",10,0,,"Punjab, Pakistan",,India
569,84,b'Hussan71813007',10/3/2020 0:28,b'RT @poojasinghjutt: #SFJ \n#Punjab #Haryana #Farmers Application 1 Oct - 8 Oct. Government has let the poor farmers fend for themselves in t\xe2\x80\xa6',"[{'text': 'SFJ', 'indices': [20, 24]}, {'text': 'Punjab', 'indices': [26, 33]}, {'text': 'Haryana', 'indices': [34, 42]}, {'text': 'Farmers', 'indices': [43, 51]}]",1,0,,""" Ropar punjab India",,Not Classified
570,85,b'Hussan71813007',10/3/2020 0:28,b'RT @poojasinghjutt: #SFJ Releases $1Million For \n#Punjab #Haryana #Farmers \nApplication 1 Oct - 8 Oct Not only men but the women who worked\xe2\x80\xa6',"[{'text': 'SFJ', 'indices': [20, 24]}, {'text': 'Punjab', 'indices': [49, 56]}, {'text': 'Haryana', 'indices': [57, 65]}, {'text': 'Farmers', 'indices': [66, 74]}]",2,0,,""" Ropar punjab India",,Not Classified
571,86,b'TopTrendsWatch',10/2/2020 23:30,"b'Trending Topics in Pakistan on 03-Oct-20, 04:30:05\n\n41 #COVID19\n42 #thealbum\n43 #fridaymotivation\n44\xe2\x80\xa6 https://t.co/5FBoNbqNOF'","[{'text': 'COVID19', 'indices': [55, 63]}, {'text': 'thealbum', 'indices': [67, 76]}, {'text': 'fridaymotivation', 'indices': [80, 97]}]",10,2,,Pakistan,,Pakistan
572,87,b'TopTrendsWatch',10/2/2020 23:03,b'Just started trending in Pakistan.\n\nemily\nTeal\nshah abdul latif bhittai\n#TrumpTestsPositive\n#khalistan\n#qadianiyyat_isnotislam',"[{'text': 'TrumpTestsPositive', 'indices': [72, 91]}, {'text': 'khalistan', 'indices': [92, 102]}, {'text': 'qadianiyyat_isnotislam', 'indices': [103, 126]}]",3,0,,Pakistan,,Pakistan
573,88,b'TopTrendsWatch',10/2/2020 22:33,b'Just started trending in Pakistan.\n\n#khalistan',"[{'text': 'khalistan', 'indices': [36, 46]}]",0,0,,Pakistan,,Pakistan
574,89,b'lovemyindia09',10/2/2020 22:18,b'RT @smeet7221: No matter how low the support for #Khalistan sinks in India \xe2\x80\x93 and it has sunk very low indeed \xe2\x80\x93 the cause still survives in\xe2\x80\xa6',"[{'text': 'Khalistan', 'indices': [49, 59]}]",7,0,,not important,,Not Classified
577,92,b'TopTrendsWatch',10/2/2020 21:33,b'Just started trending in Pakistan.\n\n#DonaldTrump\n#khalistan',"[{'text': 'DonaldTrump', 'indices': [36, 48]}, {'text': 'khalistan', 'indices': [49, 59]}]",0,0,,Pakistan,,Pakistan
582,97,b'mistbag',10/2/2020 21:08,"b""@Gyanpreet_18's account has been withheld in India in response to a legal demand. Learn more.""",[],1,0,,"Cuttack, India",,India
589,104,b'TopTrendsWatch',10/2/2020 19:48,b'Just started trending in Pakistan.\n\n#UAEWhereIsRashidHussain\n#khalistan',"[{'text': 'UAEWhereIsRashidHussain', 'indices': [36, 60]}, {'text': 'khalistan', 'indices': [61, 71]}]",0,1,,Pakistan,,Pakistan
590,105,b'cautious_indian',10/2/2020 19:37,"b""@ChiragdeepDahi1 bhai they're using #khalistan in farmer protest posts""","[{'text': 'khalistan', 'indices': [36, 46]}]",0,0,,India,,India
593,108,b'SonyVer88687411',10/2/2020 19:12,b'RT @Jasmeet09660105: Exclusive #Breaking News for all #KhalistaniSupporters!! This video shows that #Khalistan is not at all a subject for\xe2\x80\xa6',"[{'text': 'Breaking', 'indices': [31, 40]}, {'text': 'KhalistaniSupporters', 'indices': [54, 75]}, {'text': 'Khalistan', 'indices': [100, 110]}]",23,0,,"Ludhiana, India",,India
594,109,b'muazzamch22',10/2/2020 19:08,b'RT @Ha_rpreet: Indians have no Worries how #Punjab and #Haryana #Farmers will effected by So called  Agriculture Reforms Bill passed by fed\xe2\x80\xa6',"[{'text': 'Punjab', 'indices': [43, 50]}, {'text': 'Haryana', 'indices': [55, 63]}, {'text': 'Farmers', 'indices': [64, 72]}]",7,0,,🇵🇰🇻🇳🇹🇷,,Not Classified
597,112,b'TopTrendsWatch',10/2/2020 19:03,b'Just started trending in Pakistan.\n\n#TrumpTestsPositive\n#SayNoToBahriaTown\n#FridayMotivation\n#khalistan',"[{'text': 'TrumpTestsPositive', 'indices': [36, 55]}, {'text': 'SayNoToBahriaTown', 'indices': [56, 74]}, {'text': 'FridayMotivation', 'indices': [75, 92]}, {'text': 'khalistan', 'indices': [93, 103]}]",0,0,,Pakistan,,Pakistan
598,113,b'saffron_rani',10/2/2020 19:00,b'RT @Manjind06428833: SFJ was also found to be in close touch with other Pak-sponsored Islamist militant outfits and their activities to get\xe2\x80\xa6',[],10,0,,Hall of fame😎,,Not Classified
602,117,b'Shilpa0226',10/2/2020 18:44,b'RT @Manjind06428833: SFJ was also found to be in close touch with other Pak-sponsored Islamist militant outfits and their activities to get\xe2\x80\xa6',[],10,0,,India,,India
604,119,b'Prabhjyot_Madan',10/2/2020 18:39,b'RT @smeet7221: No matter how low the support for #Khalistan sinks in India \xe2\x80\x93 and it has sunk very low indeed \xe2\x80\x93 the cause still survives in\xe2\x80\xa6',"[{'text': 'Khalistan', 'indices': [49, 59]}]",7,0,,"Kolkata, India",,India
605,120,b'Ibn_Adam12',10/2/2020 18:39,b'RT @Ha_rpreet: Indians have no Worries how #Punjab and #Haryana #Farmers will effected by So called  Agriculture Reforms Bill passed by fed\xe2\x80\xa6',"[{'text': 'Punjab', 'indices': [43, 50]}, {'text': 'Haryana', 'indices': [55, 63]}, {'text': 'Farmers', 'indices': [64, 72]}]",7,0,,Pakistan ,,Pakistan
607,122,b'ZahidNi06248867',10/2/2020 18:22,b'RT @zohaibthinks: Level of Iman.\xf0\x9f\x92\x93\xf0\x9f\x92\x93\xf0\x9f\x92\x93\xf0\x9f\x92\x93\xf0\x9f\x92\xaf\xf0\x9f\x92\xaf\n\n#UAEWhereIsRashidHussain\n#PEMRA #Khalistan https://t.co/chEybDKOlE',"[{'text': 'UAEWhereIsRashidHussain', 'indices': [40, 64]}, {'text': 'PEMRA', 'indices': [65, 71]}, {'text': 'Khalistan', 'indices': [72, 82]}]",4,0,,"Lahore, Pakistan",,Pakistan
611,126,b'ali_alijauhar',10/2/2020 18:16,b'RT @kasra_shahzaib: #\xd8\xb9\xd8\xb2\xd8\xaa_\xda\xa9\xdb\x8c_\xd8\xb2\xd9\x86\xd8\xaf\xda\xaf\xdb\x8c_\xd8\xac\xdb\x8c\xd8\xa6\xdb\x8c\xda\xba_\xda\xaf\xdb\x92\nALLAH WILL GRANT COURAGE N SUCCESS TO SHAREEFS INSHALLAH. #Khalistan',"[{'text': 'عزت_کی_زندگی_جیئیں_گے', 'indices': [20, 42]}, {'text': 'Khalistan', 'indices': [101, 111]}]",2,0,,"Islamabad, Pakistan",,Pakistan
612,127,b'priyaakaurrr',10/2/2020 18:16,b'#Modi @PMOIndia FAILED #PunjabFarmers \n#SFJ Releases $1Million Aid For \n#Haryana #Punjab #Farmers\nStop\xe2\x80\xa6 https://t.co/BHayPUUsPP',"[{'text': 'Modi', 'indices': [0, 5]}, {'text': 'PunjabFarmers', 'indices': [23, 37]}, {'text': 'SFJ', 'indices': [39, 43]}, {'text': 'Haryana', 'indices': [72, 80]}, {'text': 'Punjab', 'indices': [81, 88]}, {'text': 'Farmers', 'indices': [89, 97]}]",0,0,,"Karachi, Pakistan",,Pakistan
613,128,b'sarabjot_singh_',10/2/2020 18:15,b'RT @LaylaaKaur: #Modi @PMOIndia FAILED #PunjabFarmers \n#SFJ Releases $1Million Aid For \n#Haryana #Punjab #Farmers\nStop @capt_amarinder @Rah\xe2\x80\xa6',"[{'text': 'Modi', 'indices': [16, 21]}, {'text': 'PunjabFarmers', 'indices': [39, 53]}, {'text': 'SFJ', 'indices': [55, 59]}, {'text': 'Haryana', 'indices': [88, 96]}, {'text': 'Punjab', 'indices': [97, 104]}, {'text': 'Farmers', 'indices': [105, 113]}]",1,0,,karachi,,Not Classified
614,129,b'sarabjot_singh_',10/2/2020 18:15,b'RT @mahii_preet: #Modi @PMOIndia FAILED #PunjabFarmers \n#SFJ Releases $1Million Aid For \n#Haryana #Punjab #Farmers\nStop @capt_amarinder @Ra\xe2\x80\xa6',"[{'text': 'Modi', 'indices': [17, 22]}, {'text': 'PunjabFarmers', 'indices': [40, 54]}, {'text': 'SFJ', 'indices': [56, 60]}, {'text': 'Haryana', 'indices': [89, 97]}, {'text': 'Punjab', 'indices': [98, 105]}, {'text': 'Farmers', 'indices': [106, 114]}]",1,0,,karachi,,Not Classified
615,130,b'LaylaaKaur',10/2/2020 18:15,b'#Modi @PMOIndia FAILED #PunjabFarmers \n#SFJ Releases $1Million Aid For \n#Haryana #Punjab #Farmers\nStop\xe2\x80\xa6 https://t.co/cpKItI2hCj',"[{'text': 'Modi', 'indices': [0, 5]}, {'text': 'PunjabFarmers', 'indices': [23, 37]}, {'text': 'SFJ', 'indices': [39, 43]}, {'text': 'Haryana', 'indices': [72, 80]}, {'text': 'Punjab', 'indices': [81, 88]}, {'text': 'Farmers', 'indices': [89, 97]}]",1,0,,punjab ,,India
616,131,b'sarabjot_singh_',10/2/2020 18:15,b'RT @jasmeetoo: #Modi @PMOIndia FAILED #PunjabFarmers \n#SFJ Releases $1Million Aid For \n#Haryana #Punjab #Farmers\nStop @capt_amarinder @Rahu\xe2\x80\xa6',"[{'text': 'Modi', 'indices': [15, 20]}, {'text': 'PunjabFarmers', 'indices': [38, 52]}, {'text': 'SFJ', 'indices': [54, 58]}, {'text': 'Haryana', 'indices': [87, 95]}, {'text': 'Punjab', 'indices': [96, 103]}, {'text': 'Farmers', 'indices': [104, 112]}]",2,0,,karachi,,Not Classified
617,132,b'jasmeetoo',10/2/2020 18:14,b'RT @gaurikaur101: #Modi @PMOIndia FAILED #PunjabFarmers \n#SFJ Releases $1Million Aid For \n#Haryana #Punjab #Farmers\nStop @capt_amarinder @R\xe2\x80\xa6',"[{'text': 'Modi', 'indices': [18, 23]}, {'text': 'PunjabFarmers', 'indices': [41, 55]}, {'text': 'SFJ', 'indices': [57, 61]}, {'text': 'Haryana', 'indices': [90, 98]}, {'text': 'Punjab', 'indices': [99, 106]}, {'text': 'Farmers', 'indices': [107, 115]}]",2,0,,karachi,,Not Classified
618,133,b'mahii_preet',10/2/2020 18:14,b'#Modi @PMOIndia FAILED #PunjabFarmers \n#SFJ Releases $1Million Aid For \n#Haryana #Punjab #Farmers\nStop\xe2\x80\xa6 https://t.co/nqAlyJu6Zo',"[{'text': 'Modi', 'indices': [0, 5]}, {'text': 'PunjabFarmers', 'indices': [23, 37]}, {'text': 'SFJ', 'indices': [39, 43]}, {'text': 'Haryana', 'indices': [72, 80]}, {'text': 'Punjab', 'indices': [81, 88]}, {'text': 'Farmers', 'indices': [89, 97]}]",1,1,,"Karachi, Pakistan",,Pakistan
619,134,b'RealityFreaking',10/2/2020 18:13,b'#Khalistan\n\nWe want #lahore to be the capital of #Khalistan \n#Pakistan should vacate #Lahore the seat of Maharaja R\xe2\x80\xa6 https://t.co/3qn7vo84UJ',"[{'text': 'Khalistan', 'indices': [0, 10]}, {'text': 'lahore', 'indices': [20, 27]}, {'text': 'Khalistan', 'indices': [49, 59]}, {'text': 'Pakistan', 'indices': [61, 70]}, {'text': 'Lahore', 'indices': [85, 92]}]",0,0,,In your mind & heart,,Not Classified
625,140,b'guddiikaur',10/2/2020 18:09,"b""@Mahikaurrr's account has been withheld in India in response to a legal demand. Learn more.""",[],1,0,,"Karachi, Pakistan",,Pakistan
626,141,b'guddiikaur',10/2/2020 18:09,b'RT @Ha_rpreet: Pas the #Farmersbill2020.\nSay ni to Cruelty\n#Punjab #SFJ #Khalistan #Register2Vote2020\n@wangu_news18 \n@iam_ayushmann\n @manji\xe2\x80\xa6',"[{'text': 'Farmersbill2020', 'indices': [23, 39]}, {'text': 'Punjab', 'indices': [59, 66]}, {'text': 'SFJ', 'indices': [67, 71]}, {'text': 'Khalistan', 'indices': [72, 82]}, {'text': 'Register2Vote2020', 'indices': [83, 101]}]",1,0,,"Karachi, Pakistan",,Pakistan
